Shop Name,Cuisine,Location,Rating,Costing for Two,Cost for Two,Cuisine_1,Cuisine_2,Cuisine_3,Cuisine_4,Cuisine_5,Cuisine_6,Cuisine_7,Cuisine_8,Cuisine_9,Cuisine_10,Cuisine_11,Cuisine_12,Cuisine_13,Cuisine_14,Cuisine_15,Cuisine_16,Cuisine_17,Cuisine_18
Balaji's Veg,"['North Indian', ' Chinese', ' South Indian']","Mico Layout, BTM",4.1,₹ 300,300,North Indian, Chinese, South Indian,,,,,,,,,,,,,,,
Onesta,"['Italian', ' Desserts', ' Pizzas']","4th Cross, Koramangala",3.7,₹ 250,250,Italian, Desserts, Pizzas,,,,,,,,,,,,,,,
Donne Biryani Mandi,"['Biryani', ' Andhra', ' South Indian']","BTM, BTM",4.0,₹ 150,150,Biryani, Andhra, South Indian,,,,,,,,,,,,,,,
FreshMenu,"['Chinese', ' Continental', ' Italian', ' Mediterranean', ' Thai', ' Lebanese', ' American', ' Asian', ' Beverages', ' Bakery', ' Biryani', ' Cafe', ' Desserts', ' Healthy Food', ' Mexican', ' North Indian', ' Salads', ' Pizzas']","1st Block, Koramangala",3.9,₹ 350,350,Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, Beverages, Bakery, Biryani, Cafe, Desserts, Healthy Food, Mexican, North Indian, Salads, Pizzas
Donne Biryani House,['Biryani'],"7th Block, Koramangala",4.1,₹ 130,130,Biryani,,,,,,,,,,,,,,,,,
Pipabu,"['Pizzas', ' Chinese', ' Pastas', ' Salads', ' American', ' Continental']","4th Block, Koramangala",4.1,₹ 257,257,Pizzas, Chinese, Pastas, Salads, American, Continental,,,,,,,,,,,,
Sharmas punjabi restaurant,['North Indian'],"1st Block, Koramangala",4.1,₹ 200,200,North Indian,,,,,,,,,,,,,,,,,
KFC,"['American', ' Fast Food']","Intermediate Ring Road, Koramangala",4.3,₹ 400,400,American, Fast Food,,,,,,,,,,,,,,,,
Donne Biriyani House,['South Indian'],"3rd sector, HSR",4.0,₹ 300,300,South Indian,,,,,,,,,,,,,,,,,
Nanda's,"['Andhra', ' Biryani']","HSR, HSR",4.0,₹ 400,400,Andhra, Biryani,,,,,,,,,,,,,,,,
Sagar fast food,"['Chinese', ' South Indian', ' North Indian', ' Fast Food']","8TH BLOCK, Koramangala",4.3,₹ 200,200,Chinese, South Indian, North Indian, Fast Food,,,,,,,,,,,,,,
calicut cafe restaurant,"['Fast Food', ' Beverages']","BTM, BTM",4.1,₹ 280,280,Fast Food, Beverages,,,,,,,,,,,,,,,,
Cake Garden,"['Desserts', ' Bakery']","HSR, HSR",3.9,₹ 250,250,Desserts, Bakery,,,,,,,,,,,,,,,,
Biryanis and more,"['Biryani', ' South Indian', ' North Indian', ' Fast Food', ' Andhra', ' Beverages', ' Mughlai', ' Seafood', ' Punjabi', ' Hyderabadi', ' Chinese']","4th b cross, Koramangala",4.1,₹ 399,399,Biryani, South Indian, North Indian, Fast Food, Andhra, Beverages, Mughlai, Seafood, Punjabi, Hyderabadi, Chinese,,,,,,,
Biryani Khazana,['Biryani'],"Koramangala, Koramangala",4.3,₹ 400,400,Biryani,,,,,,,,,,,,,,,,,
800 Momos,['Chinese'],"Koramangala, Koramangala",3.7,₹ 150,150,Chinese,,,,,,,,,,,,,,,,,
World of asia,"['Beverages', ' Chinese']","BTM, BTM",4.0,₹ 250,250,Beverages, Chinese,,,,,,,,,,,,,,,,
Ghar Ka Khana,['North Indian'],"BTM, BTM",4.2,₹ 220,220,North Indian,,,,,,,,,,,,,,,,,
Thalassery Restaurant,"['South Indian', ' Biryani', ' Kerala', ' North Indian', ' Chinese']","5th Block, Koramangala",3.9,₹ 300,300,South Indian, Biryani, Kerala, North Indian, Chinese,,,,,,,,,,,,,
KANNUR FOOD POINT,"['Kerala', ' Chinese']","SG palaya, BTM",3.9,₹ 300,300,Kerala, Chinese,,,,,,,,,,,,,,,,
KANNOOR RESTAURANT,"['North Indian', ' Chinese']","BTM, BTM",4.0,₹ 250,250,North Indian, Chinese,,,,,,,,,,,,,,,,
Fattoush,"['Arabian', ' Beverages', ' Biryani', ' Chinese', ' Desserts', ' North Indian']","BTM, BTM",3.9,₹ 400,400,Arabian, Beverages, Biryani, Chinese, Desserts, North Indian,,,,,,,,,,,,
Nizams Biryani,"['Biryani', ' Juices', ' Kebabs']","Venkatapura Main Rd, Teacher's Colony, Jakkasandra, HSR",3.6,₹ 200,200,Biryani, Juices, Kebabs,,,,,,,,,,,,,,,
Nagarjuna,"['Andhra', ' South Indian']","KHB Colony, Koramangala",4.3,₹ 600,600,Andhra, South Indian,,,,,,,,,,,,,,,,
Punjabi Rasoi,['North Indian'],"Sector 3, HSR",4.0,₹ 800,800,North Indian,,,,,,,,,,,,,,,,,
CRAVY WINGS - The American Diner,"['American', ' Fast Food']","Bannerghatta Road, Jayanagar",4.3,₹ 300,300,American, Fast Food,,,,,,,,,,,,,,,,
Barista,"['Beverages', ' Cafe', ' Snacks']","80 Feet Peripheral Road, Koramangala",3.8,₹ 350,350,Beverages, Cafe, Snacks,,,,,,,,,,,,,,,
BIRIYANI TASTE MASTH(BTM),"['North Indian', ' South Indian']","Btm, BTM",4.2,₹ 300,300,North Indian, South Indian,,,,,,,,,,,,,,,,
Leon Grill,"['Turkish', ' Portuguese', ' American', ' Grill']","5th Block, Koramangala",4.3,₹ 300,300,Turkish, Portuguese, American, Grill,,,,,,,,,,,,,,
Khichdi Experiment,"['Home Food', ' Healthy Food', ' Indian']","Koramangala, Koramangala",4.8,₹ 200,200,Home Food, Healthy Food, Indian,,,,,,,,,,,,,,,
